Reviewer ID,Review Title,User Name,Rating,Review Date,Review,Useful Total,Review En,Review Title En
da628868-5f13-4345-a880-c43551108958,大好きな映画,セナ丸,4,2024/2/27 12:06,"6回は見たかな。何というかあのアルパチーノなどの怖い役をやってたデニーロとは思えない良いおじいちゃん紳士役(^^)目尻下がりまくりの。
運転手をやるっていうのもタクシードライバーの映画からなのかな？
心が温かくやる気をもたらしてくれるとっても良い映画！",6,"I think I've seen it six times.It's kind of like playing the role of a good grandpa gentleman (^^) who doesn't seem to be De Niro who played scary roles such as Alpacino.
Is it because of the taxi driver's movie that I'm going to be a driver?
It's a very good movie that warms your heart and motivates you!",one's favorite movie
3a553d14-22f5-45c8-a570-e54682e52d69,とても良かった。,Original Smile,5,2024/2/18 17:37,見終わった後に、幸せな気持ちで胸がいっぱいになりました。登場人物の皆が魅力的で、一生懸命人生を生きてる。私も明日から仕事もプライベートも充実させたいな。良い映画でした。,6,"After I finished watching it, I was filled with happiness.All the characters are attractive and live their lives with all their might.I also want to improve my work and private life from tomorrow.It was a good movie.",I loved it.
d14885f9-3d05-4ad4-a7ef-a6a5b7f14481,デ・ニーロの渋さにやられた,san********,4,2023/10/25 9:25,世代を超えた友情がテーマの物語。定年した紳士ベンがバリキャリのジュールズ率いる新興アパレルメーカーにインターン入社する。ベンはこういう老紳士になりたいという理想の詰め合わせである。鑑賞した後もスッキリするし、前向きな気持ちになりたいときにおすすめ。,12,"The story is about friendship across generations.Retired gentleman Ben will join a new apparel manufacturer led by Jules of Barricari as an intern.Ben is the ideal combination of wanting to be such an old gentleman.It's refreshing even after watching it, and I recommend it when you want to feel positive.",I was struck by De Niro's astringency
73f594d6-7931-48ff-b171-aacd5b66f69c,ハートフル系はこれが１００点,gff********,5,2023/9/23 18:13,"ハートフル系はシンプルにこれでいいよね！って素直に思いました！
家庭を持ちながら懸命に会社経営を頑張ってる女性と、人生経験豊富で寛大な心を持った超素敵なお爺ちゃんの話。
そしてそして、
老人ベン役のロバートデニーロはやはりかっこいい！
人生は何歳になっても自分しだいで幸せな気持ちになれる可能性があるって思える映画。
わたしも７０歳になっても恋愛したい！",10,"I honestly thought that this would be all right for the heartful series!
The story is about a woman who has a family and is working hard to run a company, and a wonderful grandfather who has a lot of experience in life and has a generous heart.
And,
Robert De Niro, who plays the role of old Ben, is still cool!
It is a movie that makes you feel happy no matter how old you are.
I want to fall in love even when I turn 70!",This is 100 points for the heartful series
70dd9fd2-6950-4455-af47-e2b274a440a7,カッコいいですよね〜,kat********,4,2023/7/22 22:05,"何のために仕事をするのか？を考えさせられる映画でした！
そして何よりベンがカッコいいですね〜

クラシックは不滅！
誰かの役に立ちたいを原動力とする、父性溢れる男性も不滅！",5,"It was a movie that made me think about what I was going to work for!
And above all, BamBam is handsome

Classic is immortal!
A man full of fatherhood who wants to be of service to others is immortal!","It's cool, isn't it"
cfdd4606-cafc-4e10-b994-07b42711fc21,演技力と演出に脱帽,でろでろ,4,2023/7/21 17:42,"自分みたいなおっさんは普段あまり見ないタイプの女性向けっぽい映画だが、素晴らしいクオリティだった。

かつてハスラー2やレインマンでキャリア初期だったトム・クルーズは、アカデミー賞に輝くポールニューマンやダスティンホフマンの助演をやり、当時世間ではそれほどの実績がないトムは、顔がイケメンなだけの棒演技でポール様やホフマン様の足を引っ張っているチャラ男ヘタクソという罵倒が飛んだ。しかし数少ない業界人や評論家はそれはまったく違うと強く首を振った。ベテランたちに再びの輝きを与えたのはトムクルーズというこの若手の、相手の力を無限に引き出す能力があってのものだ、本当にすごいのはこのトムクルーズという名も無い若者なのだと強く擁護した。

それと同じことがこの映画で垣間見える気がした。素晴らしいデニーロの包容力のある大人な演技は、頭の回転がすこぶる早い有能経営者ながら、まだまだ人と人の別れ、人生の厳しさに耐えられるほどに心が成熟していない女性を全力で演じ切ったアンハサウェイの力が極めて大きい。

人と別れることがまだ受け入れられない若さに対して、最愛の妻と既に死別を経験してきたデニーロの包容力の大きさがはじめてそこで比較としてくっきりと浮かび上がるし、人との別れや痛みを知り尽くしている人間が言う「ここは家族のためじゃなく自分の夢を追うんだ」のアドバイスだからこそより一層の重みが出てくる。

敏腕キャリアウーマン、神経質なヒス女、大いびき女、彼氏が好きなだけの若い女、母親、全てを演じ分けている。

とまあ５点にしたいところではあるが、５点を得るためにはもっとアンハサウェイがズタボロになるまで追い込まれるべきだったかもしれないと思う。追い込まれて追い込まれ切ったところに人間の命の輝きがようやく出てくるのが名画の条件だからだ。

それにしてもこの女性監督、さすが女性だなと感心するのは小さな娘の描写。ベンを気に入った子供は囁く声で「レーズンたべる？」と自分の宝物を老人にプレゼントする。この描写だけで、ああおっさん監督たちにはこういう描き方はなかなかできないと膝を打った。

膝を打ったって表現がまたこれおっさんくさいな。。しかしいい映画だった。",17,"An old man like me is the type of movie that I don't usually watch for women, but it was of excellent quality.

Tom Cruise, who used to play early roles in Hustler 2 and Rainman, played supporting roles for Academy Award-winning Paul Newman and Dustin Hoffman, and Tom, who had no such track record at the time, was criticized as a charlatan who was dragging Paul and Hoffman's feet with his handsome stick acting.But one of the few industry people and critics shook their heads strongly, saying it was completely different.He strongly defended this young man, Tom Cruise, who gave the veterans a fresh shine, because he had the ability to draw out his opponent's power indefinitely, and what was really amazing was this nameless young man.

The same thing seemed to be glimpsed in this movie.De Niro's generous and mature performance is the power of Anhathaway, who has performed with all his might a woman who is very quick-witted but still not mature enough to endure the hardships of life.

For the first time, De Niro's tolerance, which has already experienced death with his beloved wife, is evident in comparison to the young age when it is not acceptable to break up with others, and the advice of people who know the pain and separation from others is even more important.

She plays everything from an astute career woman, a nervous hiss woman, a snoring woman, a young woman who likes her boyfriend as much as she likes, and a mother.",Take off your hat to your acting skills and direction
60fa96f0-2058-4b03-88a7-38cc63b95ec5,こんな方と出会いたい！,ill********,5,2023/6/27 5:36,"年代が違うって疎まれるとこが多い中
この高齢者インターンの存在から皆がどんどん良い方向に変わっていく
きっと人柄のせいなんだろうな、肯定って大切
私もこんな人に出会いたいし、こんな歳の重ね方ができたらいいな
観終わった後前向きになれるいい映画でした

あとアン・ハサウェイ可愛すぎるー",11,"Many people don't like me because I'm of a different age group
Everyone is changing for the better from the presence of this senior intern
I guess it's because of personality. Affirmation is important
I want to meet someone like this, and I wish I could grow older like this.""
It was a good movie that made me feel positive after I finished watching it

And Anne Hathaway is too cute",I want to meet someone like this!
cd27952b-8c2a-40fd-a2fb-7032f09aa0e0,惜しい作品,********,3,2023/6/22 9:52,"前半は仕事絡みの話で面白かったが、後半から恋愛絡みに入りました。もちろん恋愛を入れるのは別に良いけど、結婚したい、独身は嫌、などの表現が違和感ありました。
結婚＝幸せとは限りませんし、独身でも幸せに暮らしている人はたくさんいます。
設定は良いのに、後半の表現の仕方が惜しかったので星3つにしました。",4,"In the first half, it was interesting to talk about work, but in the second half, I started to talk about love.Of course, it's okay to start a relationship, but I felt uncomfortable expressing that I wanted to get married or that I didn't want to be single.
Marriage = Not necessarily happiness, and there are many single people who live happily ever after.
""The setting was good, but the way I expressed it in the second half was too bad, so I chose 3 stars.""",a regrettable piece of work
6d9a7ce4-e6ab-40a0-ab07-83a95678c899,無双おじいちゃんのためになるお話,bab********,5,2023/6/1 16:52,"ロバートデニーロの無双おじいちゃんぶりがカッコ良すぎです。
クラシックな着こなしを真似したいと思いました。
アンハサウェイは相変わらずキラキラ系キャリアウーマンで美しい。",4,"Robert De Niro's grandfatherly appearance is too cool.
I wanted to imitate the classical style of dress.
Anhathaway is as beautiful as ever as a sparkling career woman.",a story that is beneficial to one's grandfather
08f82eba-5515-4a36-b3ee-f65d9b81ed17,平和なお話で,anc********,3,2023/5/25 18:25,"何よりです。
幸せな気分になれる映画でした。",2,"I'm glad to hear that.
It was a movie that made me feel happy.",in a peaceful way
